,Entity,Code,Year,Electoral democracy index (central estimate),World regions according to OWID
91,Kyrgyzstan,KGZ,2024,0.333,
92,Laos,LAO,2024,0.134,
93,Latvia,LVA,2024,0.838,
94,Lebanon,LBN,2024,0.348,
95,Lesotho,LSO,2024,0.658,
96,Liberia,LBR,2024,0.613,
97,Libya,LBY,2024,0.196,
98,Lithuania,LTU,2024,0.799,
99,Luxembourg,LUX,2024,0.867,
100,Madagascar,MDG,2024,0.417,
101,Malawi,MWI,2024,0.58,
102,Malaysia,MYS,2024,0.517,
103,Maldives,MDV,2024,0.564,
104,Mali,MLI,2024,0.199,
105,Malta,MLT,2024,0.785,
106,Mauritania,MRT,2024,0.333,
107,Mauritius,MUS,2024,0.492,
108,Mexico,MEX,2024,0.505,
109,Moldova,MDA,2024,0.632,
110,Mongolia,MNG,2024,0.496,
111,Montenegro,MNE,2024,0.615,
112,Morocco,MAR,2024,0.263,
113,Mozambique,MOZ,2024,0.304,
114,Myanmar,MMR,2024,0.083,
115,Namibia,NAM,2024,0.623,
116,Nepal,NPL,2024,0.669,
117,Netherlands,NLD,2024,0.822,
118,New Zealand,NZL,2024,0.863,
119,Nicaragua,NIC,2024,0.153,
120,Niger,NER,2024,0.24,
121,Nigeria,NGA,2024,0.502,
122,North America,,2024,0.5898,
123,North America (population-weighted),,2024,0.7144669,
124,North Korea,PRK,2024,0.083,
125,North Macedonia,MKD,2024,0.563,
126,Norway,NOR,2024,0.884,
127,Oceania,,2024,0.693,
128,Oceania (population-weighted),,2024,0.7526694,
129,Oman,OMN,2024,0.174,
130,Pakistan,PAK,2024,0.313,
131,Palestine/Gaza,,2024,0.095,
132,Palestine/West Bank,,2024,0.214,
133,Panama,PAN,2024,0.726,
134,Papua New Guinea,PNG,2024,0.461,
135,Paraguay,PRY,2024,0.579,
136,Peru,PER,2024,0.634,
137,Philippines,PHL,2024,0.435,
138,Poland,POL,2024,0.729,
139,Portugal,PRT,2024,0.831,
140,Qatar,QAT,2024,0.087,
141,Romania,ROU,2024,0.629,
142,Russia,RUS,2024,0.172,
143,Rwanda,RWA,2024,0.202,
144,Sao Tome and Principe,STP,2024,0.673,
145,Saudi Arabia,SAU,2024,0.015,
146,Senegal,SEN,2024,0.617,
147,Serbia,SRB,2024,0.315,
148,Seychelles,SYC,2024,0.741,
149,Sierra Leone,SLE,2024,0.44,
150,Singapore,SGP,2024,0.414,
151,Slovakia,SVK,2024,0.752,
152,Slovenia,SVN,2024,0.716,
153,Solomon Islands,SLB,2024,0.665,
154,Somalia,SOM,2024,0.169,
155,Somaliland,OWID_SML,2024,0.419,
156,South Africa,ZAF,2024,0.734,
157,South America,,2024,0.6501667,
158,South America (population-weighted),,2024,0.71244484,
159,South Korea,KOR,2024,0.729,
160,South Sudan,SSD,2024,0.161,
161,Spain,ESP,2024,0.829,
162,Sri Lanka,LKA,2024,0.664,
163,Sudan,SDN,2024,0.135,
164,Suriname,SUR,2024,0.768,
165,Sweden,SWE,2024,0.881,
166,Switzerland,CHE,2024,0.894,
167,Syria,SYR,2024,0.145,
168,Taiwan,TWN,2024,0.8,
169,Tajikistan,TJK,2024,0.174,
170,Tanzania,TZA,2024,0.415,
171,Thailand,THA,2024,0.389,
172,Togo,TGO,2024,0.355,
173,Trinidad and Tobago,TTO,2024,0.755,
174,Tunisia,TUN,2024,0.434,
175,Turkey,TUR,2024,0.288,
176,Turkmenistan,TKM,2024,0.149,
177,Uganda,UGA,2024,0.272,
178,Ukraine,UKR,2024,0.389,
179,United Arab Emirates,ARE,2024,0.103,
180,United Kingdom,GBR,2024,0.833,
181,United States,USA,2024,0.84,
182,Uruguay,URY,2024,0.848,
183,Uzbekistan,UZB,2024,0.215,
184,Vanuatu,VUT,2024,0.796,
185,Venezuela,VEN,2024,0.197,
186,Vietnam,VNM,2024,0.174,
187,World,OWID_WRL,2024,0.48646927,
188,World (population-weighted),,2024,0.39008862,
189,Yemen,YEM,2024,0.127,
190,Zambia,ZMB,2024,0.51,
191,Zanzibar,OWID_ZAN,2024,0.299,
192,Zimbabwe,ZWE,2024,0.27,
