Entity,Code,Year,Rule of law,World regions according to OWID
Brazil,BRA,2009,7.75,
Brazil,BRA,2011,7.5,
Brazil,BRA,2013,7.75,
Brazil,BRA,2015,7.75,
Brazil,BRA,2017,7.75,
Brazil,BRA,2019,7.5,
Brazil,BRA,2021,7,
Brazil,BRA,2023,6.75,South America
British Indian Ocean Territory,IOT,2023,,Asia
British Virgin Islands,VGB,2023,,North America
Brunei,BRN,2023,,Asia
Bulgaria,BGR,2005,7.75,
Bulgaria,BGR,2007,8.5,
Bulgaria,BGR,2009,8.25,
Bulgaria,BGR,2011,8.5,
Bulgaria,BGR,2013,8,
Bulgaria,BGR,2015,7.75,
Bulgaria,BGR,2017,7.75,
Bulgaria,BGR,2019,7.5,
Bulgaria,BGR,2021,6.75,
Bulgaria,BGR,2023,6.5,Europe
Burkina Faso,BFA,2005,4,
Burkina Faso,BFA,2007,4.5,
Burkina Faso,BFA,2009,4,
Burkina Faso,BFA,2011,4,
Burkina Faso,BFA,2013,4.25,
Burkina Faso,BFA,2015,4,
Burkina Faso,BFA,2017,4.75,
Burkina Faso,BFA,2019,4.25,
Burkina Faso,BFA,2021,4,
Burkina Faso,BFA,2023,3,Africa
Burundi,BDI,2005,3.5,
Burundi,BDI,2007,5,
Burundi,BDI,2009,4.25,
Burundi,BDI,2011,4.25,
Burundi,BDI,2013,4,
Burundi,BDI,2015,3.5,
Burundi,BDI,2017,3,
Burundi,BDI,2019,2.5,
Burundi,BDI,2021,2.5,
Burundi,BDI,2023,2.5,Africa
Cambodia,KHM,2005,3,
Cambodia,KHM,2007,3,
Cambodia,KHM,2009,3,
Cambodia,KHM,2011,2.75,
Cambodia,KHM,2013,2.5,
Cambodia,KHM,2015,2.25,
Cambodia,KHM,2017,2,
Cambodia,KHM,2019,2,
Cambodia,KHM,2021,1.75,
Cambodia,KHM,2023,2,Asia
Cameroon,CMR,2005,3.75,
Cameroon,CMR,2007,4,
Cameroon,CMR,2009,3.75,
Cameroon,CMR,2011,3.75,
Cameroon,CMR,2013,4,
Cameroon,CMR,2015,3.75,
Cameroon,CMR,2017,3.75,
Cameroon,CMR,2019,3.25,
Cameroon,CMR,2021,3.25,
Cameroon,CMR,2023,3.25,Africa
Canada,CAN,2023,,North America
Cape Verde,CPV,2023,,Africa
Cayman Islands,CYM,2023,,North America
Central African Republic,CAF,2005,3,
Central African Republic,CAF,2007,3.75,
Central African Republic,CAF,2009,3.5,
Central African Republic,CAF,2011,3.5,
Central African Republic,CAF,2013,3.25,
Central African Republic,CAF,2015,3.5,
Central African Republic,CAF,2017,3.75,
Central African Republic,CAF,2019,3.25,
Central African Republic,CAF,2021,3.5,
Central African Republic,CAF,2023,3.5,Africa
Chad,TCD,2005,2.75,
Chad,TCD,2007,1.75,
Chad,TCD,2009,1.75,
Chad,TCD,2011,2.25,
Chad,TCD,2013,2.25,
Chad,TCD,2015,2.25,
Chad,TCD,2017,2.25,
Chad,TCD,2019,1.75,
Chad,TCD,2021,2.25,
Chad,TCD,2023,1.5,Africa
Chile,CHL,2005,9.25,
Chile,CHL,2007,9.25,
Chile,CHL,2009,9.25,
Chile,CHL,2011,9.25,
Chile,CHL,2013,9.25,
Chile,CHL,2015,9.25,
Chile,CHL,2017,9.5,
Chile,CHL,2019,9.5,
Chile,CHL,2021,9.5,
Chile,CHL,2023,9.75,South America
China,CHN,2005,2.25,
China,CHN,2007,2,
China,CHN,2009,2.25,
China,CHN,2011,2.25,
China,CHN,2013,2,
China,CHN,2015,2.25,
China,CHN,2017,2.25,
China,CHN,2019,2.5,
China,CHN,2021,2.5,
China,CHN,2023,2.25,Asia
Christmas Island,CXR,2023,,Asia
Cocos Islands,CCK,2023,,Asia
Colombia,COL,2005,5.25,
Colombia,COL,2007,5.25,
Colombia,COL,2009,5.25,
Colombia,COL,2011,5.5,
Colombia,COL,2013,6.5,
Colombia,COL,2015,6.5,
Colombia,COL,2017,6.5,
Colombia,COL,2019,6.25,
Colombia,COL,2021,5.75,
Colombia,COL,2023,6,South America
Comoros,COM,2023,,Africa
Congo,COG,2007,3,
Congo,COG,2009,3,
Congo,COG,2011,3,
Congo,COG,2013,3,
Congo,COG,2015,3,
Congo,COG,2017,2.5,
Congo,COG,2019,2.5,
Congo,COG,2021,2.5,
Congo,COG,2023,2.5,Africa
Cook Islands,COK,2023,,Oceania
Costa Rica,CRI,2005,9.25,
Costa Rica,CRI,2007,9.5,
Costa Rica,CRI,2009,9.5,
Costa Rica,CRI,2011,9.5,
Costa Rica,CRI,2013,9.25,
Costa Rica,CRI,2015,9,
Costa Rica,CRI,2017,9.5,
Costa Rica,CRI,2019,9.5,
Costa Rica,CRI,2021,9.5,
Costa Rica,CRI,2023,9.5,North America
Cote d'Ivoire,CIV,2005,2.75,
Cote d'Ivoire,CIV,2007,2.5,
Cote d'Ivoire,CIV,2009,2.75,
Cote d'Ivoire,CIV,2011,2.5,
Cote d'Ivoire,CIV,2013,3.5,
Cote d'Ivoire,CIV,2015,3.5,
Cote d'Ivoire,CIV,2017,3.75,
Cote d'Ivoire,CIV,2019,3.75,
Cote d'Ivoire,CIV,2021,3.75,
Cote d'Ivoire,CIV,2023,3.75,Africa
Croatia,HRV,2005,8.25,
Croatia,HRV,2007,8,
Croatia,HRV,2009,7.75,
Croatia,HRV,2011,7.75,
Croatia,HRV,2013,8.25,
Croatia,HRV,2015,8,
Croatia,HRV,2017,8,
Croatia,HRV,2019,7.25,
Croatia,HRV,2021,7.25,
Croatia,HRV,2023,7.5,Europe
Cuba,CUB,2005,2.25,
Cuba,CUB,2007,2.5,
Cuba,CUB,2009,2.75,
Cuba,CUB,2011,2.75,
Cuba,CUB,2013,3,
Cuba,CUB,2015,3.25,
Cuba,CUB,2017,3.25,
Cuba,CUB,2019,3.25,
Cuba,CUB,2021,3.25,
Cuba,CUB,2023,2.75,North America
Curacao,CUW,2023,,North America
Cyprus,CYP,2023,,Europe
Czechia,CZE,2005,9,
Czechia,CZE,2007,9.25,
Czechia,CZE,2009,9.5,
Czechia,CZE,2011,9.25,
Czechia,CZE,2013,9.25,
Czechia,CZE,2015,9.25,
Czechia,CZE,2017,9.25,
Czechia,CZE,2019,9,
Czechia,CZE,2021,9,
Czechia,CZE,2023,9,Europe
Czechoslovakia,OWID_CZS,2023,,Europe
Democratic Republic of Congo,COD,2005,2,
Democratic Republic of Congo,COD,2007,2.25,
Democratic Republic of Congo,COD,2009,2.75,
Democratic Republic of Congo,COD,2011,2.75,
Democratic Republic of Congo,COD,2013,2.75,
Democratic Republic of Congo,COD,2015,2.75,
Democratic Republic of Congo,COD,2017,2.75,
Democratic Republic of Congo,COD,2019,2.75,
Democratic Republic of Congo,COD,2021,3,
Democratic Republic of Congo,COD,2023,2.75,Africa
Democratic Republic of Vietnam,,2023,,Asia
Denmark,DNK,2023,,Europe
Djibouti,DJI,2019,3,
Djibouti,DJI,2021,3,
Djibouti,DJI,2023,3,Africa
Dominica,DMA,2023,,North America
Dominican Republic,DOM,2005,6.25,
Dominican Republic,DOM,2007,6.5,
Dominican Republic,DOM,2009,6.25,
Dominican Republic,DOM,2011,6.25,
Dominican Republic,DOM,2013,5.75,
Dominican Republic,DOM,2015,5.75,
Dominican Republic,DOM,2017,5.25,
Dominican Republic,DOM,2019,5.25,
Dominican Republic,DOM,2021,5.25,
Dominican Republic,DOM,2023,6,North America
Duchy of Modena and Reggio,,2023,,Europe
Duchy of Parma and Piacenza,,2023,,Europe
East Germany,OWID_GDR,2023,,Europe
East Timor,TLS,2019,7,
East Timor,TLS,2021,7,
East Timor,TLS,2023,7,Asia
Ecuador,ECU,2005,4.75,
Ecuador,ECU,2007,4.75,
Ecuador,ECU,2009,4.75,
Ecuador,ECU,2011,5,
Ecuador,ECU,2013,4.75,
Ecuador,ECU,2015,4.5,
Ecuador,ECU,2017,4.75,
Ecuador,ECU,2019,6.5,
Ecuador,ECU,2021,6.5,
Ecuador,ECU,2023,6,South America
Egypt,EGY,2005,3.75,
Egypt,EGY,2007,4.25,
Egypt,EGY,2009,4.25,
Egypt,EGY,2011,3.5,
Egypt,EGY,2013,4.75,
Egypt,EGY,2015,3.5,
Egypt,EGY,2017,3.5,
Egypt,EGY,2019,3,
Egypt,EGY,2021,2.5,
Egypt,EGY,2023,2.75,Africa
El Salvador,SLV,2005,6,
El Salvador,SLV,2007,6,
El Salvador,SLV,2009,6.25,
El Salvador,SLV,2011,6.25,
El Salvador,SLV,2013,6.25,
El Salvador,SLV,2015,6,
El Salvador,SLV,2017,6,
El Salvador,SLV,2019,6,
El Salvador,SLV,2021,5.75,
El Salvador,SLV,2023,3.5,North America
Equatorial Guinea,GNQ,2019,1.75,
Equatorial Guinea,GNQ,2021,1.75,
Equatorial Guinea,GNQ,2023,1.75,Africa
Eritrea,ERI,2005,2.5,
Eritrea,ERI,2007,2,
Eritrea,ERI,2009,2,
Eritrea,ERI,2011,1.25,
Eritrea,ERI,2013,1.25,
Eritrea,ERI,2015,1.25,
Eritrea,ERI,2017,1.25,
Eritrea,ERI,2019,1.25,
Eritrea,ERI,2021,1.25,
Eritrea,ERI,2023,1,Africa
Estonia,EST,2005,9.5,
Estonia,EST,2007,9.75,
Estonia,EST,2009,9.75,
Estonia,EST,2011,9.75,
Estonia,EST,2013,9.75,
Estonia,EST,2015,9.75,
Estonia,EST,2017,10,
Estonia,EST,2019,10,
Estonia,EST,2021,10,
Estonia,EST,2023,10,Europe
Eswatini,SWZ,2019,2.5,
Eswatini,SWZ,2021,2.5,
Eswatini,SWZ,2023,2,Africa
Ethiopia,ETH,2005,3.25,
Ethiopia,ETH,2007,3.5,
Ethiopia,ETH,2009,3.25,
Ethiopia,ETH,2011,2.75,
Ethiopia,ETH,2013,3,
Ethiopia,ETH,2015,3,
Ethiopia,ETH,2017,2.75,
Ethiopia,ETH,2019,3.25,
Ethiopia,ETH,2021,3.25,
Ethiopia,ETH,2023,3.5,Africa
Ethiopia (former),OWID_ERE,2023,,Africa
Falkland Islands,FLK,2023,,South America
Faroe Islands,FRO,2023,,Europe
Federal Republic of Central America,,2023,,North America
Fiji,FJI,2023,,Oceania
Finland,FIN,2023,,Europe
France,FRA,2023,,Europe
French Guiana,GUF,2023,,South America
French Polynesia,PYF,2023,,Oceania
Gabon,GAB,2019,3.75,
Gabon,GAB,2021,3.5,
Gabon,GAB,2023,3.5,Africa
Gambia,GMB,2019,5.5,
Gambia,GMB,2021,5.75,
Gambia,GMB,2023,6.5,Africa
Georgia,GEO,2005,6.5,
Georgia,GEO,2007,6,
Georgia,GEO,2009,5.5,
Georgia,GEO,2011,6,
Georgia,GEO,2013,6,
Georgia,GEO,2015,6.5,
Georgia,GEO,2017,6.5,
Georgia,GEO,2019,6.25,
Georgia,GEO,2021,5.75,
Georgia,GEO,2023,5.25,Asia
Germany,DEU,2023,,Europe
Ghana,GHA,2005,7.5,
Ghana,GHA,2007,7.5,
Ghana,GHA,2009,7.5,
Ghana,GHA,2011,7.5,
Ghana,GHA,2013,7.5,
Ghana,GHA,2015,6.75,
Ghana,GHA,2017,7,
Ghana,GHA,2019,7,
Ghana,GHA,2021,7,
Ghana,GHA,2023,6.75,Africa
Gibraltar,GIB,2023,,Europe
Grand Duchy of Baden,,2023,,Europe
Grand Duchy of Tuscany,,2023,,Europe
Great Colombia,,2023,,South America
Greece,GRC,2023,,Europe
Greenland,GRL,2023,,North America
Grenada,GRD,2023,,North America
Guadeloupe,GLP,2023,,North America
Guam,GUM,2023,,Oceania
Guatemala,GTM,2005,5.25,
Guatemala,GTM,2007,5.5,
Guatemala,GTM,2009,5.25,
Guatemala,GTM,2011,5.25,
Guatemala,GTM,2013,5.25,
Guatemala,GTM,2015,4.5,
Guatemala,GTM,2017,4.75,
Guatemala,GTM,2019,3.25,
Guatemala,GTM,2021,3.25,
Guatemala,GTM,2023,2.5,North America
Guernsey,GGY,2023,,Europe
Guinea,GIN,2005,3.5,
Guinea,GIN,2007,2.5,
Guinea,GIN,2009,2.75,
Guinea,GIN,2011,4,
Guinea,GIN,2013,4.75,
Guinea,GIN,2015,4.75,
Guinea,GIN,2017,5,
Guinea,GIN,2019,4.75,
Guinea,GIN,2021,3.75,
Guinea,GIN,2023,3.5,Africa
Guinea-Bissau,GNB,2019,5,
Guinea-Bissau,GNB,2021,4,
Guinea-Bissau,GNB,2023,3.5,Africa
Guyana,GUY,2023,,South America
Haiti,HTI,2005,3,
Haiti,HTI,2007,3.75,
Haiti,HTI,2009,4.25,
Haiti,HTI,2011,3.75,
Haiti,HTI,2013,3.75,
Haiti,HTI,2015,3,
Haiti,HTI,2017,3,
Haiti,HTI,2019,3,
Haiti,HTI,2021,2.75,
Haiti,HTI,2023,1.5,North America
Honduras,HND,2005,6,
Honduras,HND,2007,6,
Honduras,HND,2009,5.25,
Honduras,HND,2011,5.75,
Honduras,HND,2013,5.75,
Honduras,HND,2015,5.75,
Honduras,HND,2017,4.75,
Honduras,HND,2019,3.25,
Honduras,HND,2021,3.25,
Honduras,HND,2023,3.5,North America
Hong Kong,HKG,2023,,Asia
Hungary,HUN,2005,9,
Hungary,HUN,2007,9.25,
Hungary,HUN,2009,9,
Hungary,HUN,2011,7.75,
Hungary,HUN,2013,7.25,
Hungary,HUN,2015,6.5,
Hungary,HUN,2017,6,
Hungary,HUN,2019,5.75,
Hungary,HUN,2021,5.25,
Hungary,HUN,2023,5,Europe
Iceland,ISL,2023,,Europe
India,IND,2005,7.5,
India,IND,2007,7.5,
India,IND,2009,7.5,
India,IND,2011,7.5,
India,IND,2013,7.5,
India,IND,2015,7.25,
India,IND,2017,7,
India,IND,2019,7,
India,IND,2021,5.75,
India,IND,2023,5.75,Asia
Indonesia,IDN,2005,5.5,
Indonesia,IDN,2007,5.5,
Indonesia,IDN,2009,6.75,
Indonesia,IDN,2011,6.25,
Indonesia,IDN,2013,6.25,
Indonesia,IDN,2015,6.25,
Indonesia,IDN,2017,6.25,
Indonesia,IDN,2019,6,
Indonesia,IDN,2021,6,
Indonesia,IDN,2023,6,Asia
Iran,IRN,2005,3.5,
Iran,IRN,2007,3.5,
Iran,IRN,2009,3.25,
Iran,IRN,2011,2.75,
Iran,IRN,2013,2.75,
Iran,IRN,2015,2.5,
Iran,IRN,2017,2.25,
Iran,IRN,2019,2.25,
Iran,IRN,2021,2.25,
Iran,IRN,2023,1.75,Asia
Iraq,IRQ,2005,2.25,
Iraq,IRQ,2007,3,
Iraq,IRQ,2009,4,
Iraq,IRQ,2011,4.25,
Iraq,IRQ,2013,3.5,
Iraq,IRQ,2015,3.5,
Iraq,IRQ,2017,3.75,
Iraq,IRQ,2019,3.75,
Iraq,IRQ,2021,4.5,
Iraq,IRQ,2023,4.75,Asia
Ireland,IRL,2023,,Europe
Isle of Man,IMN,2023,,Europe
Israel,ISR,2023,,Asia
Italy,ITA,2023,,Europe
Jamaica,JAM,2005,7.75,
Jamaica,JAM,2007,7.5,
Jamaica,JAM,2009,7.25,
Jamaica,JAM,2011,7.25,
Jamaica,JAM,2013,7.25,
Jamaica,JAM,2015,7.25,
Jamaica,JAM,2017,7.25,
Jamaica,JAM,2019,7.25,
Jamaica,JAM,2021,7.25,
Jamaica,JAM,2023,7,North America
Japan,JPN,2023,,Asia
Jersey,JEY,2023,,Europe
Jordan,JOR,2005,4.25,
Jordan,JOR,2007,4.25,
Jordan,JOR,2009,4,
Jordan,JOR,2011,4,
Jordan,JOR,2013,4.25,
Jordan,JOR,2015,4.5,
Jordan,JOR,2017,4.5,
Jordan,JOR,2019,4.25,
Jordan,JOR,2021,4.25,
Jordan,JOR,2023,4.25,Asia
Kazakhstan,KAZ,2005,4,
Kazakhstan,KAZ,2007,3.75,
Kazakhstan,KAZ,2009,3.75,
Kazakhstan,KAZ,2011,3.25,
Kazakhstan,KAZ,2013,3,
Kazakhstan,KAZ,2015,2.75,
Kazakhstan,KAZ,2017,3,
Kazakhstan,KAZ,2019,3.5,
Kazakhstan,KAZ,2021,3.5,
Kazakhstan,KAZ,2023,3.5,Asia
Kenya,KEN,2005,5.5,
Kenya,KEN,2007,6,
Kenya,KEN,2009,4.75,
Kenya,KEN,2011,5.5,
Kenya,KEN,2013,5.75,
Kenya,KEN,2015,5.5,
Kenya,KEN,2017,5.5,
Kenya,KEN,2019,5.5,
Kenya,KEN,2021,5.75,
Kenya,KEN,2023,6,Africa
Kingdom of Bavaria,,2023,,Europe
Kingdom of Sardinia,,2023,,Europe
Kingdom of Saxony,,2023,,Europe
Kingdom of Wurttemberg,,2023,,Europe
Kingdom of the Two Sicilies,,2023,,Europe
Kiribati,KIR,2023,,Oceania
Korea (former),OWID_KRU,2023,,Asia
Kosovo,OWID_KOS,2009,5.5,
Kosovo,OWID_KOS,2011,5.5,
Kosovo,OWID_KOS,2013,5.5,
Kosovo,OWID_KOS,2015,5.5,
Kosovo,OWID_KOS,2017,5.75,
Kosovo,OWID_KOS,2019,5.5,
Kosovo,OWID_KOS,2021,5.5,
Kosovo,OWID_KOS,2023,5.5,Europe
Kuwait,KWT,2007,4.5,
Kuwait,KWT,2009,5,
Kuwait,KWT,2011,5.25,
Kuwait,KWT,2013,5.25,
Kuwait,KWT,2015,4.75,
Kuwait,KWT,2017,4.5,
Kuwait,KWT,2019,5,
Kuwait,KWT,2021,4.75,
Kuwait,KWT,2023,4.75,Asia
Kyrgyzstan,KGZ,2005,3.75,
Kyrgyzstan,KGZ,2007,5.25,
Kyrgyzstan,KGZ,2009,4,
Kyrgyzstan,KGZ,2011,4.25,
Kyrgyzstan,KGZ,2013,4.5,
Kyrgyzstan,KGZ,2015,5,
Kyrgyzstan,KGZ,2017,5.25,
Kyrgyzstan,KGZ,2019,5,
Kyrgyzstan,KGZ,2021,4.25,
Kyrgyzstan,KGZ,2023,3.5,Asia
Laos,LAO,2005,2.25,
Laos,LAO,2007,1.5,
Laos,LAO,2009,1.75,
Laos,LAO,2011,2,
Laos,LAO,2013,2.25,
Laos,LAO,2015,2,
Laos,LAO,2017,2,
Laos,LAO,2019,2.25,
Laos,LAO,2021,2.5,
Laos,LAO,2023,2,Asia
Latvia,LVA,2005,8.5,
Latvia,LVA,2007,8.5,
Latvia,LVA,2009,8.5,
Latvia,LVA,2011,8.5,
Latvia,LVA,2013,8.25,
Latvia,LVA,2015,8.25,
Latvia,LVA,2017,8.25,
Latvia,LVA,2019,8.25,
Latvia,LVA,2021,8.5,
Latvia,LVA,2023,8.5,Europe
Lebanon,LBN,2005,5,
Lebanon,LBN,2007,5.5,
Lebanon,LBN,2009,6.25,
Lebanon,LBN,2011,5.75,
Lebanon,LBN,2013,5.75,
Lebanon,LBN,2015,5.25,
Lebanon,LBN,2017,4.75,
Lebanon,LBN,2019,4.75,
Lebanon,LBN,2021,4.75,
Lebanon,LBN,2023,4.75,Asia
Lesotho,LSO,2009,5.25,
Lesotho,LSO,2011,5.25,
Lesotho,LSO,2013,6,
Lesotho,LSO,2015,5.5,
Lesotho,LSO,2017,5.5,
Lesotho,LSO,2019,5,
Lesotho,LSO,2021,5.25,
Lesotho,LSO,2023,5.25,Africa
Liberia,LBR,2005,2.75,
Liberia,LBR,2007,4.5,
Liberia,LBR,2009,5.25,
Liberia,LBR,2011,5.25,
Liberia,LBR,2013,5.25,
Liberia,LBR,2015,5.25,
Liberia,LBR,2017,5.25,
Liberia,LBR,2019,5.5,
Liberia,LBR,2021,5.25,
Liberia,LBR,2023,5,Africa
Libya,LBY,2005,3.25,
Libya,LBY,2007,3,
Libya,LBY,2009,3,
Libya,LBY,2011,2.75,
Libya,LBY,2013,3,
Libya,LBY,2015,1.75,
Libya,LBY,2017,1.75,
Libya,LBY,2019,2.75,
Libya,LBY,2021,2.25,
Libya,LBY,2023,2,Africa
Liechtenstein,LIE,2023,,Europe
Lithuania,LTU,2005,9.25,
Lithuania,LTU,2007,9.5,
Lithuania,LTU,2009,9,
Lithuania,LTU,2011,9,
Lithuania,LTU,2013,8.75,
Lithuania,LTU,2015,9,
Lithuania,LTU,2017,9.5,
Lithuania,LTU,2019,9.75,
Lithuania,LTU,2021,9.75,
Lithuania,LTU,2023,9.75,Europe
Luxembourg,LUX,2023,,Europe
Macao,MAC,2023,,Asia
Madagascar,MDG,2005,6.75,
Madagascar,MDG,2007,6.25,
Madagascar,MDG,2009,5.5,
Madagascar,MDG,2011,4.5,
Madagascar,MDG,2013,3.75,
Madagascar,MDG,2015,4.25,
Madagascar,MDG,2017,4.25,
Madagascar,MDG,2019,4.25,
Madagascar,MDG,2021,4.25,
Madagascar,MDG,2023,4.25,Africa
Malawi,MWI,2005,6.25,
Malawi,MWI,2007,6,
Malawi,MWI,2009,5.75,
Malawi,MWI,2011,5.75,
Malawi,MWI,2013,6.25,
Malawi,MWI,2015,6,
Malawi,MWI,2017,5.75,
Malawi,MWI,2019,5.5,
Malawi,MWI,2021,6,
Malawi,MWI,2023,6,Africa
Malaysia,MYS,2005,5.25,
Malaysia,MYS,2007,5.5,
Malaysia,MYS,2009,5.5,
Malaysia,MYS,2011,5.25,
Malaysia,MYS,2013,5.5,
Malaysia,MYS,2015,4.75,
Malaysia,MYS,2017,4,
Malaysia,MYS,2019,5.5,
Malaysia,MYS,2021,5,
Malaysia,MYS,2023,5.25,Asia
Maldives,MDV,2023,,Asia
Mali,MLI,2005,5.75,
Mali,MLI,2007,5.75,
Mali,MLI,2009,5.75,
Mali,MLI,2011,5.5,
Mali,MLI,2013,3.5,
Mali,MLI,2015,4.75,
Mali,MLI,2017,4.75,
Mali,MLI,2019,4.5,
Mali,MLI,2021,3.75,
Mali,MLI,2023,2.5,Africa
Malta,MLT,2023,,Europe
Marshall Islands,MHL,2023,,Oceania
Martinique,MTQ,2023,,North America
Mauritania,MRT,2007,4,
Mauritania,MRT,2009,3.5,
Mauritania,MRT,2011,4.5,
Mauritania,MRT,2013,4.5,
Mauritania,MRT,2015,4,
Mauritania,MRT,2017,4,
