,Survey Year,Country Name,E-Government Rank,E-Government Index,E-Participation Index,Online Service Index,Human Capital Index,Telecommunication Infrastructure Index
84,2018,Canada,23,0.8258,0.9101,0.9306,0.8744,0.6724
85,2018,France,9,0.879,0.9663,0.9792,0.8598,0.7979
86,2018,Germany,12,0.8765,0.9213,0.9306,0.9036,0.7952
87,2018,India,96,0.5669,0.9551,0.9514,0.5484,0.2009
88,2018,United Kingdom,4,0.8999,0.9831,0.9792,0.92,0.8004
89,2018,United States,11,0.8769,0.9831,0.9861,0.8883,0.7564
90,2020,Italy,37,0.8231,0.8214,0.8294,0.8466,0.7932
91,2020,Japan,14,0.8989,0.9881,0.9059,0.8684,0.9223
92,2020,China,45,0.7948,0.9643,0.9059,0.7396,0.7388
93,2020,Brazil,54,0.7677,0.9048,0.8706,0.7803,0.6522
94,2020,Canada,28,0.842,0.9405,0.8412,0.9029,0.7818
95,2020,France,19,0.8718,0.9048,0.8824,0.8612,0.8719
96,2020,Germany,25,0.8524,0.75,0.7353,0.9362,0.8856
97,2020,India,100,0.5964,0.8571,0.8529,0.5848,0.3515
98,2020,United Kingdom,7,0.9358,0.9762,0.9588,0.9292,0.9195
99,2020,United States,9,0.9297,1.0,0.9471,0.9239,0.9182
100,2022,Italy,37,0.8375,0.7273,0.8659,0.8606,0.786
101,2022,Japan,14,0.9002,1.0,0.9094,0.8765,0.9147
102,2022,China,43,0.8119,0.8636,0.8876,0.7429,0.805
103,2022,Brazil,49,0.791,0.8977,0.8964,0.7953,0.6814
104,2022,Canada,32,0.8511,0.8295,0.8504,0.926,0.777
105,2022,France,19,0.8832,0.7159,0.8768,0.8784,0.8944
106,2022,Germany,22,0.877,0.7273,0.7905,0.9446,0.8957
107,2022,India,105,0.5883,0.5909,0.7934,0.5761,0.3954
108,2022,United Kingdom,11,0.9138,0.9545,0.8859,0.9369,0.9186
109,2022,United States,10,0.9151,0.9091,0.9304,0.9276,0.8874
110,2024,Italy,51,0.83557,0.6575,0.76239,0.84262,0.90167
111,2024,Japan,13,0.9351,0.9863,0.94274,0.9117,0.95091
112,2024,China,35,0.87184,0.9315,0.92576,0.79023,0.89954
113,2024,Brazil,50,0.84026,0.863,0.90631,0.80768,0.80685
114,2024,Canada,47,0.84516,0.9178,0.85516,0.87249,0.80782
115,2024,France,34,0.87442,0.8082,0.844,0.85645,0.92281
116,2024,Germany,12,0.93821,0.9726,0.92384,0.96724,0.92359
117,2024,India,97,0.66776,0.6575,0.81842,0.61487,0.57004
118,2024,United Kingdom,7,0.95773,0.9726,0.95349,0.94498,0.97467
119,2024,United States,19,0.91945,0.9452,0.91358,0.88424,0.96052
